DATE CREATED
2020-04-01T18:52:59+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
"Omega Interchangeable Thermistors - ON-950-440005, 3000 Ohm @ 25 deg C #DVY1"

UOM DEFINITIONS
Degrees Celsius

STATION
Davies Reef
LATITUDE
-18.83162
LONGITUDE
147.6345

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_13_14,wtemp_LEVEL1_summer_14_15,wtemp_LEVEL1_summer_15_16,wtemp_LEVEL1_summer_16_17,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
13-MAR,15,28.1284125,26.9496,28.4656,28.9924,29.104,27.7899,28.5348,28.0603
14-MAR,15,28.07296388888889,26.9744,28.3624,29.0835,29.2714,27.8113,28.7074,27.9414
15-MAR,15,28.036581944444446,27.1097,28.3579,29.1085,29.2538,27.9162,28.7816,28.1776
16-MAR,15,28.002320833333332,27.2892,28.4435,29.0174,29.4119,28.054,28.7953,28.1214
17-MAR,15,27.96635,27.3895,28.3313,28.5778,29.6838,28.1032,28.6592,27.9582
18-MAR,15,27.963084722222224,27.4984,28.2578,28.737,29.7855,28.2035,28.534,27.8681
19-MAR,15,27.938144444444443,27.3586,28.3483,28.911,29.7613,28.1683,28.4902,27.7553
20-MAR,15,27.864441666666668,27.1378,28.547,29.0992,29.7731,28.2141,28.448,27.6892
21-MAR,15,27.861425,27.0852,28.6274,29.2485,29.9221,28.1954,28.2576,27.7141
22-MAR,15,27.92262638888889,27.1284,28.6485,29.344,29.9586,27.926,27.9466,27.6136
23-MAR,15,27.94383286908078,27.1797,28.6719,29.3552,29.9395,27.9227,27.9117,27.6502
24-MAR,15,27.94338611111111,27.2056,28.7985,29.1953,29.6169,27.9106,28.0785,27.7269
25-MAR,15,27.934853963838666,27.1172,28.8251,28.9853,29.3029,27.8947,28.3385,27.7153
26-MAR,15,27.926584722222223,26.933,28.9571,28.8031,28.7591,27.9006,28.4043,27.5375
27-MAR,15,27.916184722222223,26.9706,28.8469,28.8535,28.4369,27.9025,28.5694,
28-MAR,15,27.92935138888889,27.2355,28.7193,28.9197,28.3546,27.8742,28.4011,
29-MAR,15,27.889404166666665,27.4115,28.4565,28.9185,28.5549,27.9415,28.2832,
30-MAR,15,27.79623888888889,27.4823,28.3424,28.9279,28.7657,28.0517,28.2919,
31-MAR,15,27.766908333333333,27.4724,28.3393,28.9374,28.961,28.0763,28.2783,
